Entry	Entry Name
A1YYP0	A1YYP0_MOUSE
A1YYP1	A1YYP1_MOUSE
A1Z198	NL1B2_MOUSE
A1Z1Q3	MACD2_HUMAN
A2A259	PK2L1_MOUSE
A2A288	ZC12D_HUMAN
A2A2Y4	FRMD3_HUMAN
A2A432	CUL4B_MOUSE
A2A5K6	ZN335_MOUSE
A2A5N3	PAP1L_MOUSE
A2A5N8	LMBL1_MOUSE
A2A5R2	BIG2_MOUSE
A2A5Z6	SMUF2_MOUSE
A2A6C4	SPP2C_MOUSE
A2A6Q5	CDC27_MOUSE
A2A7A7	A2A7A7_MOUSE
A2A7Q9	RN19B_MOUSE
A2A813	A2A813_MOUSE
A2A815	A2A815_MOUSE
A2A816	A2A816_MOUSE
A2A817	A2A817_MOUSE
A2A825	CPLN2_MOUSE
A2A848	A2A848_MOUSE
A2A863	ITB4_MOUSE
A2A884	ZEP3_MOUSE
A2A8L1	CHD5_MOUSE
A2A8L5	PTPRF_MOUSE
A2A8U2	TM201_MOUSE
A2A935	PRD16_MOUSE
A2A974	CP4CB_MOUSE
A2A9A2	DMTA2_MOUSE
A2A9C3	SZT2_MOUSE
A2A9F4	KDF1_MOUSE
A2AA28	MET23_MOUSE
A2AAE1	BLTP1_MOUSE
A2AAJ9	OBSCN_MOUSE
A2AAY5	SPD2B_MOUSE
A2ABF9	A2ABF9_HUMAN
A2ABV5	MED14_MOUSE
A2AC93	DNAI2_MOUSE
A2ACT4	A2ACT4_MOUSE
A2AD83	FRMD7_MOUSE
A2AF47	DOC11_MOUSE
A2AFQ2	A2AFQ2_MOUSE
A2AG06	MEIOC_MOUSE
A2AG50	MA7D2_MOUSE
A2AGH6	MED12_MOUSE
A2AGL3	RYR3_MOUSE
A2AGT5	CKAP5_MOUSE
A2AH22	AMRA1_MOUSE
A2AHJ7	A2AHJ7_MOUSE
A2AHK0	A2AHK0_MOUSE
A2AHL1	ANO3_MOUSE
A2AI05	NDOR1_MOUSE
A2AI08	TPRN_MOUSE
A2AI21	A2AI21_MOUSE
A2AIP0	CMI2B_MOUSE
A2AIR5	NMD3A_MOUSE
A2AIV2	VIR_MOUSE
A2AIV8	CARD9_MOUSE
A2AIW0	ENTR1_MOUSE
A2AJ15	MA1B1_MOUSE
A2AJ76	HMCN2_MOUSE
A2AJ77	PRD12_MOUSE
A2AJ88	PLPL7_MOUSE
